playlist,name,name_url,artist,artist_url,album,album_url,year,album_art,genres,similar_songs
Top Tracks,Veridis Quo,https://open.spotify.com/track/2LD2gT7gwAurzdQDQtILds,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,Discovery,https://open.spotify.com/album/2noRn2Aes5aoNVsU6iWThc,2001,https://i.scdn.co/image/ab67616d0000b2732c25dad9f8fd54652f7ba5df,,"[{'Something About Us': 'Daft Punk'}, {'Nightvision': 'Daft Punk'}, {'Genesis': 'Justice'}]"
Top Tracks,BURN,https://open.spotify.com/track/7BPadP3q9qwMkho3IMPU99,¥$,https://open.spotify.com/artist/4xPQFgDA5M2xa0ZGo5iIsv,VULTURES 1,https://open.spotify.com/album/4DOsPwJtokv6HEifZ6t5j6,2024,https://i.scdn.co/image/ab67616d0000b2739c654f315df05ae7c6ec8980,,"[{'KEYS TO MY LIFE': '¥$'}, {'PROBLEMATIC': '¥$'}, {'Father Stretch My Hands Pt. 1': 'Kanye West'}]"
Top Tracks,High For This,https://open.spotify.com/track/2ye9iWj5V4g6k6HFeTTAKa,The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,House Of Balloons (Original),https://open.spotify.com/album/7zCODUHkfuRxsUjtuzNqbd,2011,https://i.scdn.co/image/ab67616d0000b273274b406a7e18acebcf743079,,"[{'Loft Music': 'The Weeknd'}, {'What You Need': 'The Weeknd'}, {'Dreamin': 'PARTYNEXTDOOR'}]"
Top Tracks,Instant Crush (feat. Julian Casablancas),https://open.spotify.com/track/2cGxRwrMyEAp8dEbuZaVv6,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,Random Access Memories,https://open.spotify.com/album/4m2880jivSbbyEGAKfITCa,2013,https://i.scdn.co/image/ab67616d0000b2739b9b36b0e22870b9f542d937,,"[{'Lose Yourself to Dance (feat. Pharrell Williams)': 'Daft Punk'}, {'Touch (feat. Paul Williams)': 'Daft Punk'}, {'On Melancholy Hill': 'Gorillaz'}]"
Top Tracks,End of Line,https://open.spotify.com/track/09TlxralXOGX35LUutvw7I,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,TRON: Legacy - The Complete Edition (Original Motion Picture Soundtrack),https://open.spotify.com/album/3AMXFnwHWXCvNr5NCCpLZI,2010,https://i.scdn.co/image/ab67616d0000b2738323143296ff7b2801e32789,,"[{'Derezzed': 'Daft Punk'}, {'Arena': 'Daft Punk'}, {'Genesis': 'Justice'}]"
Top Tracks,Wake Me Up (feat. Justice),https://open.spotify.com/track/5ehXToeJ8Tgc4wMhY42Oul,The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,Hurry Up Tomorrow,https://open.spotify.com/album/6iyZdOoujtOwiThdAUI8TM,2025,https://i.scdn.co/image/ab67616d0000b2734aa8b835e86c68b78ee147d6,,"[{'Big Sleep (feat. Giorgio Moroder)': 'The Weeknd'}, {'Enjoy The Show (feat. Future)': 'The Weeknd'}, {'Apple': 'Charli XCX'}]"
Top Tracks,Nein!,https://open.spotify.com/track/4IRk0nB8LDQYosqv1qJYio,AYLIVA,https://open.spotify.com/artist/2rEVnwCPBeGkWMv425KoG1,In Liebe,https://open.spotify.com/album/3cB6tCOD8fqXuYwbpcrcdV,2024,https://i.scdn.co/image/ab67616d0000b2738bdf6a4309ec137eeb64befc,,"[{'Traum': 'AYLIVA'}, {'Beifahrer': 'AYLIVA'}, {'It Girl (feat. Sampagne)': 'Shirin David'}]"
Top Tracks,"Girl, so confusing featuring lorde",https://open.spotify.com/track/7srqyRb5plksW5k65itXDB,Charli xcx,https://open.spotify.com/artist/25uiPmTg16RbhZWAqwLBy5,Brat and it’s completely different but also still brat,https://open.spotify.com/album/36P07bti6xD99o7S1acmin,2024,https://i.scdn.co/image/ab67616d0000b27355a1e72ba425c60a02a9bb47,,[]
Top Tracks,Sunshine & Rain...,https://open.spotify.com/track/7lj0vXLgWbyB0BvCsk22hn,Kali Uchis,https://open.spotify.com/artist/1U1el3k54VvEUzo3ybLPlM,"Sincerely,",https://open.spotify.com/album/2XhNukk6jDysbSRL7VsqYb,2025,https://i.scdn.co/image/ab67616d0000b273a7493f1985f820a9add223d2,,[]
Top Tracks,To the Wilder,https://open.spotify.com/track/5xjkxF6sKG9ANZuicTXWVm,Woodkid,https://open.spotify.com/artist/44TGR1CzjKBxSHsSEy7bi9,WOODKID FOR DEATH STRANDING 2: ON THE BEACH,https://open.spotify.com/album/11Bzc0HtyaDwu6bT07poOx,2025,https://i.scdn.co/image/ab67616d0000b2732361954469d930bd28556a16,,"[{'Are You There': 'Woodkid'}, {'Story of Rainy': 'Woodkid'}, {'The Line (from the series Arcane League of Legends)': 'twenty one pilots'}]"
Top Tracks,FUK SUMN,https://open.spotify.com/track/0cbVD7WpHVdHUKwoolzhCZ,¥$,https://open.spotify.com/artist/4xPQFgDA5M2xa0ZGo5iIsv,VULTURES 1,https://open.spotify.com/album/4DOsPwJtokv6HEifZ6t5j6,2024,https://i.scdn.co/image/ab67616d0000b2739c654f315df05ae7c6ec8980,,"[{'VULTURES': '¥$'}, {'PROMOTION': '¥$'}, {'Pablo': 'Kanye West'}]"
Top Tracks,Duvet,https://open.spotify.com/track/42qNWdLKCI41S4uzfamhFM,bôa,https://open.spotify.com/artist/5jTtGLk1mGFMY5lQOvJYUj,Twilight,https://open.spotify.com/album/7sGYAV0xv7ZfAMzIpMl8m1,2001,https://i.scdn.co/image/ab67616d0000b273948506eef3b3350b2385ef51,,"[{""Komm, Susser Tod (M-10 Director's Edit Version)"": 'Arianne'}, {'Unravel': 'TK from 凛として時雨'}, {""The Cruel Angel's Thesis (Director's Edit Version)"": 'Yoko Takahashi'}]"
Top Tracks,Sweater Weather,https://open.spotify.com/track/0cQVqPuHQP4KEwc7ZUQmj6,The Neighbourhood,https://open.spotify.com/artist/77SW9BnxLY8rJ0RciFqkHh,I Love You.,https://open.spotify.com/album/6iu2XwoDlKg0VYte9qAbnr,2013,https://i.scdn.co/image/ab67616d0000b273c91ed3bc3c8d484f532fab2f,,"[{'Afraid': 'The Neighbourhood'}, {'505': 'Arctic Monkeys'}, {'Do I Wanna Know?': 'Arctic Monkeys'}]"
Top Tracks,Que Sera Sera,https://open.spotify.com/track/6PF9zGfeUjMFMADqzZ1JTI,Pixies,https://open.spotify.com/artist/6zvul52xwTWzilBZl6BUbT,You're So Impatient,https://open.spotify.com/album/75hBHuaFQCVisHjw2l892X,2024,https://i.scdn.co/image/ab67616d0000b2738edefbae55c0eb1a29fdfd65,,"[{'The Man Who Sold The World (Live)': 'Nirvana'}, {'Head On': 'Pixies'}, {'where did you sleep last night - live': 'Nirvana'}]"
Top Tracks,Like That,https://open.spotify.com/track/2tudvzsrR56uom6smgOcSf,Future,https://open.spotify.com/artist/1RyvyyTE3xzB2ZywiAwp0i,WE DON'T TRUST YOU,https://open.spotify.com/album/4iqbFIdGOTzXeDtt9owjQn,2024,https://i.scdn.co/image/ab67616d0000b2731729574fe2a8e391a2ce1ece,,"[{'peekaboo': 'Kendrick Lamar'}, {'luther': 'Kendrick Lamar'}, {'The Hillbillies': 'Baby Keem'}]"
Top Tracks,Enjoy The Show (feat. Future),https://open.spotify.com/track/637oNhilCI9UlkWkUW4Grt,The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,Hurry Up Tomorrow,https://open.spotify.com/album/3OxfaVgvTxUTy7276t7SPU,2025,https://i.scdn.co/image/ab67616d0000b273982320da137d0de34410df61,,"[{'Reflections Laughing (feat. Travis Scott, Florence + The Machine)': 'The Weeknd'}, {'Big Sleep (feat. Giorgio Moroder)': 'The Weeknd'}, {'Saturn': 'SZA'}]"
Top Tracks,Baptized In Fear,https://open.spotify.com/track/0bxRSMz5WY1VuMmOhanE4b,The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,Hurry Up Tomorrow,https://open.spotify.com/album/6iyZdOoujtOwiThdAUI8TM,2025,https://i.scdn.co/image/ab67616d0000b2734aa8b835e86c68b78ee147d6,,"[{'Opening Night': 'The Weeknd'}, {'Take Me Back To LA': 'The Weeknd'}, {'What Do I Do': 'SZA'}]"
Top Tracks,Let It Happen,https://open.spotify.com/track/2X485T9Z5Ly0xyaghN73ed,Tame Impala,https://open.spotify.com/artist/5INjqkS1o8h1imAzPqGZBb,Currents,https://open.spotify.com/album/79dL7FLiJFOO0EoehUHQBv,2015,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79,,"[{'The Less I Know the Better': 'Tame Impala'}, {'New Person, Same Old Mistakes': 'Tame Impala'}, {'Kids': 'MGMT'}]"
Top Tracks,Counting Stars,https://open.spotify.com/track/7KMm1zF2QOTSw2t01IAFif,Nujabes,https://open.spotify.com/artist/3Rq3YOF9YG9YfCWD4D56RZ,2nd Collection,https://open.spotify.com/album/1uFAVpKOz5CBiaMxVnA9UW,2007,https://i.scdn.co/image/ab67616d0000b273b272e55a046e153084ad6d6b,,"[{'Another Reflection': 'Nujabes'}, {'The Final View': 'Nujabes'}, {'Ole': 'Fat Jon'}]"
Top Tracks,All My Heroes,https://open.spotify.com/track/4bnl1QmJKze0f0KptEJDdp,Naeleck,https://open.spotify.com/artist/2DYDFBqoaBP2i9XrTGpOgF,All My Heroes,https://open.spotify.com/album/3HAbQ2bBXcCta78XBLFQZO,2020,https://i.scdn.co/image/ab67616d0000b273f626d2b6241902732b75bf0e,,"[{'Danse Macabre - Macrowave Remix': 'Naeleck'}, {'Pacific Coast Highway': 'Fukkk Offf'}, {'Heroes': 'Naeleck'}]"
Top Tracks,CARNIVAL,https://open.spotify.com/track/2McT2fkH0VDqPsbiB9HWPq,¥$,https://open.spotify.com/artist/4xPQFgDA5M2xa0ZGo5iIsv,VULTURES 1,https://open.spotify.com/album/4DOsPwJtokv6HEifZ6t5j6,2024,https://i.scdn.co/image/ab67616d0000b2739c654f315df05ae7c6ec8980,,"[{'STARS': '¥$'}, {'PAPERWORK': '¥$'}, {'Otis': 'JAY-Z'}]"
Top Tracks,FIELD TRIP,https://open.spotify.com/track/7vv89PswQvqGKCGJ1rw5on,¥$,https://open.spotify.com/artist/4xPQFgDA5M2xa0ZGo5iIsv,VULTURES 2,https://open.spotify.com/album/5RV2TNyjylqWJNxQyHBTeJ,2024,https://i.scdn.co/image/ab67616d0000b273fb9cedd86a3d08dc053a550d,,"[{'PROMOTION': '¥$'}, {'BURN': '¥$'}, {'family ties (with Kendrick Lamar)': 'Baby Keem'}]"
Top Tracks,Open Hearts,https://open.spotify.com/track/0stJVUUSrbEwyFHOp2dRu0,The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,Hurry Up Tomorrow,https://open.spotify.com/album/6iyZdOoujtOwiThdAUI8TM,2025,https://i.scdn.co/image/ab67616d0000b2734aa8b835e86c68b78ee147d6,,"[{'Take Me Back To LA': 'The Weeknd'}, {'Give Me Mercy': 'The Weeknd'}, {'Apple': 'Charli XCX'}]"
Top Tracks,The Less I Know The Better,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ,Tame Impala,https://open.spotify.com/artist/5INjqkS1o8h1imAzPqGZBb,Currents,https://open.spotify.com/album/79dL7FLiJFOO0EoehUHQBv,2015,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79,,"[{'Let It Happen': 'Tame Impala'}, {'Borderline': 'Tame Impala'}, {'Chamber of Reflection': 'Mac DeMarco'}]"
Top Tracks,I Can't Wait To Get There,https://open.spotify.com/track/0bcZ7xN9IcjSNxLerzR2yl,The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,Hurry Up Tomorrow,https://open.spotify.com/album/3OxfaVgvTxUTy7276t7SPU,2025,https://i.scdn.co/image/ab67616d0000b273982320da137d0de34410df61,,"[{'Diamond Boy (DTM)': 'SZA'}, {'Crybaby': 'SZA'}, {'Silk Lingerie,': 'Kali Uchis'}]"
Top Tracks,Niagara Falls,https://open.spotify.com/track/2v0AG62ZHtD3I4YmTb3WYM,The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,Hurry Up Tomorrow,https://open.spotify.com/album/3OxfaVgvTxUTy7276t7SPU,2025,https://i.scdn.co/image/ab67616d0000b273982320da137d0de34410df61,,"[{'Given Up on Me': 'The Weeknd'}, {'Opening Night': 'The Weeknd'}, {'Pyramids': 'Frank Ocean'}]"
Top Tracks,Unwritten,https://open.spotify.com/track/3U5JVgI2x4rDyHGObzJfNf,Natasha Bedingfield,https://open.spotify.com/artist/7o95ZoZt5ZYn31e9z1Hc0a,Unwritten,https://open.spotify.com/album/3PEzTAuPW5IjLJ58FzwQeL,2004,https://i.scdn.co/image/ab67616d0000b273b337e1ca6629a53c66a3b0d4,,"[{'Pocketful of Sunshine': 'Natasha Bedingfield'}, {'These Words': 'Natasha Bedingfield'}, {'Since U Been Gone': 'Kelly Clarkson'}]"
Top Tracks,Big Sleep (feat. Giorgio Moroder),https://open.spotify.com/track/3aNmAv9I8lqis2WjGbxArt,The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,Hurry Up Tomorrow,https://open.spotify.com/album/6iyZdOoujtOwiThdAUI8TM,2025,https://i.scdn.co/image/ab67616d0000b2734aa8b835e86c68b78ee147d6,,"[{'Wake Me Up (feat. Justice)': 'The Weeknd'}, {'Enjoy The Show (feat. Future)': 'The Weeknd'}, {'Ghost in the Machine (feat. Phoebe Bridgers)': 'SZA'}]"
Top Tracks,With A Smile - Maiah's Cinematic Mix,https://open.spotify.com/track/4o36ywU3IKWiP06r2C7qR6,Maiah Manser,https://open.spotify.com/artist/2SjlJe4MbPmGLwdEBuMrBV,With A Smile (Maiah's Cinematic Mix),https://open.spotify.com/album/6SKXK4D7IkvLFZ4F6Ue5Ct,2023,https://i.scdn.co/image/ab67616d0000b2732b8cf1d63b5ab07c5d4881c5,,[]
Top Tracks,Wicked Games,https://open.spotify.com/track/00aqkszH1FdUiJJWvX6iEl,The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,House Of Balloons (Original),https://open.spotify.com/album/7zCODUHkfuRxsUjtuzNqbd,2011,https://i.scdn.co/image/ab67616d0000b273274b406a7e18acebcf743079,,"[{'High for This': 'The Weeknd'}, {'The Morning': 'The Weeknd'}, {'Dreamin': 'PARTYNEXTDOOR'}]"
Top Tracks,What You Need,https://open.spotify.com/track/4Yw8TyBm9J8cpy2guHUYog,The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,House Of Balloons (Original),https://open.spotify.com/album/7zCODUHkfuRxsUjtuzNqbd,2011,https://i.scdn.co/image/ab67616d0000b273274b406a7e18acebcf743079,,"[{'High for This': 'The Weeknd'}, {'Loft Music': 'The Weeknd'}, {'Dreamin': 'PARTYNEXTDOOR'}]"
Top Tracks,We Still Don't Trust You,https://open.spotify.com/track/7sVbKoBdhXtYCEOO6qC1SN,Future,https://open.spotify.com/artist/1RyvyyTE3xzB2ZywiAwp0i,WE STILL DON'T TRUST YOU,https://open.spotify.com/album/3bSNhnaQQXpC639OQ4pMyP,2024,https://i.scdn.co/image/ab67616d0000b27341659c9c05bc25a964c9636b,,"[{'Drink N Dance': 'Future'}, {'OUT OF MY HANDS': 'Future'}, {'Many Men': '21 Savage'}]"
Top Tracks,TEENAGE FEVER,https://open.spotify.com/track/0ENBIsETigvE4fydGX7pJk,Isaia Huron,https://open.spotify.com/artist/1hJx89kEIcAmlZzUWat9w6,Cerulean Tapes,https://open.spotify.com/album/5P0gZ58K80JhWtxqfXYa5M,2021,https://i.scdn.co/image/ab67616d0000b273f6dca0db3ad1f87d57ee544c,,"[{'SAME SIDE': 'Jessie Reyez'}, {'DO YOU LOVE HER': 'Jessie Reyez'}, {'Open Up': 'UMI'}]"
Top Tracks,"Reflections Laughing (feat. Travis Scott, Florence + The Machine)",https://open.spotify.com/track/2gyHr9WqZeMtzJOpWGuGo6,The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,Hurry Up Tomorrow,https://open.spotify.com/album/3OxfaVgvTxUTy7276t7SPU,2025,https://i.scdn.co/image/ab67616d0000b273982320da137d0de34410df61,,[]
Top Tracks,Given Up On Me,https://open.spotify.com/track/3niLgyM9yJTaZMpeXjjSSk,The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,Hurry Up Tomorrow,https://open.spotify.com/album/6iyZdOoujtOwiThdAUI8TM,2025,https://i.scdn.co/image/ab67616d0000b2734aa8b835e86c68b78ee147d6,,"[{'Opening Night': 'The Weeknd'}, {'Niagara Falls': 'The Weeknd'}, {'Low Life (feat. The Weeknd)': 'Future'}]"
Top Tracks,Somebody That I Used To Know,https://open.spotify.com/track/1qDrWA6lyx8cLECdZE7TV7,Gotye,https://open.spotify.com/artist/2AsusXITU8P25dlRNhcAbG,Making Mirrors,https://open.spotify.com/album/4G2rJNhsKOE6iHgtUqZ0Ye,2011,https://i.scdn.co/image/ab67616d0000b2738ac5768205ad97df3f4f4c0e,,"[{'Pumped Up Kicks': 'Foster the People'}, {'We Are Young (feat. Janelle Monáe)': 'fun.'}, {'Riptide': 'Vance Joy'}]"
Top Tracks,As the World Caves In,https://open.spotify.com/track/2xXNLutYAOELYVObYb1C1S,Sarah Cothran,https://open.spotify.com/artist/3kft86DbqCNr7rjq3pEj0G,As the World Caves In,https://open.spotify.com/album/0RiimwsSMUsxrBu0RsyuRH,2021,https://i.scdn.co/image/ab67616d0000b2738b065a7bfff7655a18bc18ed,,"[{'Heather': 'Conan Gray'}, {""People I Don't Like"": 'Upsahl'}, {'I Sent My Therapist To Therapy': 'Alec Benjamin'}]"
Top Tracks,Cry For Me,https://open.spotify.com/track/3AWDeHLc88XogCaCnZQLVI,The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,Hurry Up Tomorrow,https://open.spotify.com/album/3OxfaVgvTxUTy7276t7SPU,2025,https://i.scdn.co/image/ab67616d0000b273982320da137d0de34410df61,,"[{'Baptized in Fear': 'The Weeknd'}, {'After Hours': 'The Weeknd'}, {'Wake Me Up': 'The Weeknd & Justice'}]"
Top Tracks,The Abyss (feat. Lana Del Rey),https://open.spotify.com/track/4cYllEeJVH7dWKwQxpbk42,The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,Hurry Up Tomorrow,https://open.spotify.com/album/6iyZdOoujtOwiThdAUI8TM,2025,https://i.scdn.co/image/ab67616d0000b2734aa8b835e86c68b78ee147d6,,"[{'Big Sleep (feat. Giorgio Moroder)': 'The Weeknd'}, {'Enjoy The Show (feat. Future)': 'The Weeknd'}, {'dodger blue (feat. wallie the sensei, siete7x, roddy ricch)': 'Kendrick Lamar'}]"
Top Tracks,BONNIE AND CLYDE,https://open.spotify.com/track/50P3NOtlB7fFimxWH8h5IM,Red Leather,https://open.spotify.com/artist/2qltFRTCjw1j67Da9FR8F1,BONNIE AND CLYDE,https://open.spotify.com/album/4MZkDQQUL52Z3bysxzSp7M,2025,https://i.scdn.co/image/ab67616d0000b273815ff4b8b2dfbfdd43c13f19,,"[{'POISON': 'Red Leather'}, {'SOS': 'Red Leather'}, {'JIM BOB': 'HARDY'}]"
Top Tracks,Batuque - Jeremy Sole & Atropolis remix,https://open.spotify.com/track/4Lns34NpYHhYrVbAWPaV6e,Dom La Nena,https://open.spotify.com/artist/7cfKXiA9YUupXEjCUWPtxY,Ela Por Eles (Remixes),https://open.spotify.com/album/2DD98RJquYWpkeq083PS9C,2014,https://i.scdn.co/image/ab67616d0000b2730f5a23a7b4b887e4ae6b1c60,,[]
Top Tracks,Opening Night,https://open.spotify.com/track/4oahRRZECfGud6eL7Lj7CO,The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,Hurry Up Tomorrow,https://open.spotify.com/album/6iyZdOoujtOwiThdAUI8TM,2025,https://i.scdn.co/image/ab67616d0000b2734aa8b835e86c68b78ee147d6,,"[{'Given Up on Me': 'The Weeknd'}, {'Baptized in Fear': 'The Weeknd'}, {'30 For 30 (with Kendrick Lamar)': 'SZA'}]"
Top Tracks,São Paulo (feat. Anitta),https://open.spotify.com/track/7DY756WOLyOz2Xnhw4EFiC,The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,Hurry Up Tomorrow,https://open.spotify.com/album/3OxfaVgvTxUTy7276t7SPU,2025,https://i.scdn.co/image/ab67616d0000b273982320da137d0de34410df61,,"[{'SPAGHETTII': 'Beyoncé'}, {'A Lonely Night': 'The Weeknd'}, {'IS IT': 'Tyla'}]"
Top Tracks,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",https://open.spotify.com/track/1otG6j1WHNvl9WgXLWkHTo,Kali Uchis,https://open.spotify.com/artist/1U1el3k54VvEUzo3ybLPlM,Isolation,https://open.spotify.com/album/4EPQtdq6vvwxuYeQTrwDVY,2018,https://i.scdn.co/image/ab67616d0000b27390b4e1905b1fc48c537ec053,,[]
Top Tracks,Just A Stranger (feat. Steve Lacy),https://open.spotify.com/track/1HA2V2EfAgJUBVOju4YfiB,Kali Uchis,https://open.spotify.com/artist/1U1el3k54VvEUzo3ybLPlM,Isolation,https://open.spotify.com/album/4EPQtdq6vvwxuYeQTrwDVY,2018,https://i.scdn.co/image/ab67616d0000b27390b4e1905b1fc48c537ec053,,"[{'Your Teeth in My Neck': 'Kali Uchis'}, {'Flight 22': 'Kali Uchis'}, {'Go Gina': 'SZA'}]"
Top Tracks,Lost at Sea - ANNA Remix,https://open.spotify.com/track/3d1sRLMVrXnCBawEZo69bR,Rob Grant,https://open.spotify.com/artist/5Y1ry2fgj4VzEjWndZu8Rw,Lost At Sea (ANNA Remix),https://open.spotify.com/album/3pIQNfjYRPV9SvyzoTVNNS,2024,https://i.scdn.co/image/ab67616d0000b273db1bc560892f655d7ebb831c,,"[{'Me Before You Orchestral': 'Craig Armstrong'}, {""Amelia's Song"": 'Craig Armstrong'}, {'Lost at Sea': 'Rob Grant'}]"
Top Tracks,Promentory (Last of the Mohicans Theme),https://open.spotify.com/track/72GB6L1gVIeQHIdahvVRcv,Taylor Davis,https://open.spotify.com/artist/480xKab3lUPhBBnCzlzqIu,Promentory (Last of the Mohicans Theme),https://open.spotify.com/album/7r6baCTiJ5qG05bf8Wtq1r,2012,https://i.scdn.co/image/ab67616d0000b2734e81dbb297fd7bc52def7984,,"[{'Game of Thrones Theme': 'Taylor Davis'}, {'Fairy Tail Theme': 'Taylor Davis'}, {""He's a pirate"": 'David Garrett'}]"
Top Tracks,Nothing Breaks Like a Heart (feat. Miley Cyrus),https://open.spotify.com/track/02dRkCEc8Q5ch4TTcnLxOn,Mark Ronson,https://open.spotify.com/artist/3hv9jJF3adDNsBSIQDqcjp,Late Night Feelings,https://open.spotify.com/album/6vdLdzihSWxV8FgWU2GSvA,2019,https://i.scdn.co/image/ab67616d0000b273de087ae2924d2c1654f60d74,,"[{""We Can't Stop"": 'Miley Cyrus'}, {'Party in the U.S.A.': 'Miley Cyrus'}, {'Unholy': 'Sam Smith'}]"
Top Tracks,Ecstasy (Instrumental Edit),https://open.spotify.com/track/4Eh0EzmssbxXKjPBKXd0EB,Crooked Still,https://open.spotify.com/artist/7LOJ56d8VmOebynlV01KfU,Shaken By A Low Sound (Deluxe),https://open.spotify.com/album/45cjYhMQZBlltDVr6sLXrG,2021,https://i.scdn.co/image/ab67616d0000b2736fad7046c3c650ccfc7236ad,,"[{'Ecstasy': 'Crooked Still'}, {""Ain't No Grave"": 'Crooked Still'}, {'Mountain Hymn': 'Rhiannon Giddens'}]"
Top Tracks,SKELETONS,https://open.spotify.com/track/6NMtzpDQBTOfJwMzgMX0zl,Travis Scott,https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY,ASTROWORLD,https://open.spotify.com/album/41GuZcammIkupMPKH2OJ6I,2018,https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3,,"[{'WAKE UP': 'Travis Scott'}, {'Pray 4 Love (feat. The Weeknd)': 'Travis Scott'}, {'Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix': 'Ty Dolla $ign'}]"
